Method,Simulation,Epoch,N,Actions,LengthScale,OutputScale,Noise,obsBest,trueBest
Separate,1,0,100,5,1,1,0.01,1.964820147,2.002198219
Separate,1,1,100,5,1,1,0.01,1.964820147,2.002198219
