Method,Simulation,Epoch,N,Actions,LengthScale,OutputScale,Noise,obsBest,trueBest
Separate,1,0,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,1,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,2,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,3,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,4,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,5,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,6,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,7,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,8,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,9,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,10,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,11,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,12,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,13,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,14,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,15,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,16,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,17,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,18,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,19,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,1,20,100,10,1.0,1.0,0.10000000149011612,1.5429317951202393,1.1078941822052002
Separate,2,0,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,1,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,2,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,3,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,4,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,5,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,6,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,7,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,8,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,9,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,10,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,11,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,12,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,13,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,14,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,15,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,16,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,17,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,18,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,19,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,2,20,100,10,1.0,1.0,0.10000000149011612,2.335986614227295,2.21437668800354
Separate,3,0,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,1,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,2,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,3,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,4,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,5,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,6,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,7,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,8,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,9,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,10,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,11,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,12,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,13,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,14,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,15,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,16,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,17,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,18,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,19,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,3,20,100,10,1.0,1.0,0.10000000149011612,2.581132411956787,2.9098758697509766
Separate,4,0,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,1,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,2,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,3,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,4,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,5,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,6,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,7,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,8,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,9,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,10,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,11,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,12,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,13,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,14,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,15,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,16,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,17,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,18,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,19,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,4,20,100,10,1.0,1.0,0.10000000149011612,2.647982597351074,2.530240774154663
Separate,5,0,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,1,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,2,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,3,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,4,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,5,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,6,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,7,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,8,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,9,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,10,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,11,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,12,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,13,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,14,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,15,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,16,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,17,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,18,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,19,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,5,20,100,10,1.0,1.0,0.10000000149011612,2.737410306930542,2.2817564010620117
Separate,6,0,100,10,1.0,1.0,0.10000000149011612,1.9042686223983765,2.1536154747009277
Separate,6,1,100,10,1.0,1.0,0.10000000149011612,1.9042686223983765,2.1536154747009277
Separate,6,2,100,10,1.0,1.0,0.10000000149011612,1.9042686223983765,2.1536154747009277
Separate,6,3,100,10,1.0,1.0,0.10000000149011612,1.9042686223983765,2.1536154747009277
Separate,6,4,100,10,1.0,1.0,0.10000000149011612,1.9042686223983765,2.1536154747009277
Separate,6,5,100,10,1.0,1.0,0.10000000149011612,1.9042686223983765,2.1536154747009277
