Method,Simulation,Epoch,N,Actions,LengthScale,OutputScale,Noise,obsBest,trueBest
Separate,1,0,100,5,1.0,1.0,0.10000000149011612,2.499656915664673,2.192680835723877
Separate,1,1,100,5,1.0,1.0,0.10000000149011612,2.499656915664673,2.192680835723877
Separate,1,2,100,5,1.0,1.0,0.10000000149011612,2.499656915664673,2.192680835723877
Separate,2,0,100,5,1.0,1.0,0.10000000149011612,2.0091710090637207,2.5267598628997803
Separate,2,1,100,5,1.0,1.0,0.10000000149011612,2.0091710090637207,2.5267598628997803
Separate,2,2,100,5,1.0,1.0,0.10000000149011612,2.0091710090637207,2.5267598628997803
