Method,Simulation,Epoch,N,Actions,LengthScale,OutputScale,Noise,obsBest,trueBest
Separate,1,0,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,1,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,2,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,3,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,4,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,5,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,6,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,7,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,8,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,9,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,10,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,11,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,12,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,13,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,14,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,15,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,16,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,17,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,18,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,19,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,20,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,21,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,22,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,23,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,24,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,25,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,26,10,10,1.0,1.0,0.10000000149011612,1.0186078548431396,1.0186078548431396
Separate,1,27,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,28,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,29,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,30,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,31,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,32,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,33,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,34,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,35,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,36,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,37,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,38,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,39,10,10,1.0,1.0,0.10000000149011612,1.3337831497192383,1.3337831497192383
Separate,1,40,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
Separate,1,41,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
Separate,1,42,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
Separate,1,43,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
Separate,1,44,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
Separate,1,45,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
Separate,1,46,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
Separate,1,47,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
Separate,1,48,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
Separate,1,49,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
Separate,1,50,10,10,1.0,1.0,0.10000000149011612,1.6604392528533936,1.6604392528533936
