Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest
Separate,1,0,500,2,0.0,,,,2.395303964614868,2.395303964614868
Separate,1,1,500,2,0.0,"[[4.740495204925537, 3.649353265762329, 2.0700814723968506, 3.5324666500091553, 3.2641494274139404, 3.461845874786377]]",3.2898366451263428,0.01074893493205309,2.395303964614868,2.395303964614868
Separate,1,2,500,2,0.0,"[[3.4807000160217285, 6.117554664611816, 3.5738515853881836, 2.5693368911743164, 4.115840435028076, 4.253114700317383]]",2.145432233810425,0.010234332643449306,2.395303964614868,2.395303964614868
Separate,1,3,500,2,0.0,"[[5.846595287322998, 1.484023094177246, 3.2869246006011963, 4.256986618041992, 3.511813163757324, 3.2111077308654785]]",3.487576723098755,0.007859457284212112,2.395303964614868,2.395303964614868
Separate,1,4,500,2,0.0,"[[3.819218873977661, 2.3837392330169678, 3.7371132373809814, 5.653568267822266, 3.6123270988464355, 3.009889841079712]]",5.579828262329102,0.031383272260427475,2.395303964614868,2.395303964614868
Separate,1,5,500,2,0.0,"[[3.88179349899292, 1.5835461616516113, 1.8778761625289917, 1.7633538246154785, 2.200963258743286, 2.8784406185150146]]",3.2756614685058594,0.010446691885590553,2.395303964614868,2.395303964614868
Separate,1,6,500,2,0.0,"[[3.3782477378845215, 4.094426155090332, 3.9787683486938477, 4.023313045501709, 3.262157440185547, 5.004578113555908]]",1.829624056816101,0.0024408232420682907,2.395303964614868,2.395303964614868
Separate,1,7,500,2,0.0,"[[4.640227317810059, 5.288546562194824, 4.261965274810791, 4.647462844848633, 4.36915397644043, 5.0243821144104]]",2.1347198486328125,0.021603615954518318,2.395303964614868,2.395303964614868
Separate,1,8,500,2,0.0,"[[4.10377836227417, 6.272421360015869, 4.013045787811279, 5.8708930015563965, 4.953085422515869, 5.841735363006592]]",3.5059547424316406,0.019856764003634453,2.395303964614868,2.395303964614868
Separate,1,9,500,2,0.0,"[[4.100407600402832, 4.029385566711426, 3.4890339374542236, 2.770648717880249, 4.705577850341797, 4.717510223388672]]",5.1625237464904785,0.03674882650375366,2.395303964614868,2.395303964614868
Separate,1,10,500,2,0.0,"[[4.838812351226807, 3.22463059425354, 3.7983436584472656, 4.172736167907715, 4.382865905761719, 4.156459331512451]]",3.9155330657958984,0.017186108976602554,2.395303964614868,2.395303964614868
Separate,1,11,500,2,0.0,"[[2.4928908348083496, 4.179498672485352, 1.9113898277282715, 3.8018980026245117, 5.312433242797852, 2.692298173904419]]",3.5802032947540283,0.01296091265976429,2.395303964614868,2.395303964614868
Separate,1,12,500,2,0.0,"[[3.571321487426758, 2.9989655017852783, 3.411754846572876, 4.176199436187744, 4.460097312927246, 5.632782459259033]]",4.0137810707092285,0.01843196712434292,2.395303964614868,2.395303964614868
Separate,1,13,500,2,0.0,"[[2.6648809909820557, 3.9584450721740723, 2.1462862491607666, 1.9949012994766235, 6.032176494598389, 2.9468255043029785]]",4.803733825683594,0.026290560141205788,2.395303964614868,2.395303964614868
Separate,1,14,500,2,0.0,"[[3.922497034072876, 1.924346685409546, 3.815840005874634, 1.1573891639709473, 3.833965301513672, 3.8485958576202393]]",2.4157161712646484,0.018850717693567276,2.395303964614868,2.395303964614868
Separate,1,15,500,2,0.0,"[[3.431915283203125, 3.168869972229004, 3.2187674045562744, 1.4388386011123657, 2.7764296531677246, 2.9213619232177734]]",5.172352313995361,0.028051629662513733,2.395303964614868,2.395303964614868
Separate,1,16,500,2,0.0,"[[3.1092445850372314, 1.7799205780029297, 1.9673633575439453, 2.245943069458008, 3.7211241722106934, 3.2520132064819336]]",2.79447603225708,0.005983993876725435,2.395303964614868,2.395303964614868
Separate,1,17,500,2,0.0,"[[3.4525516033172607, 2.481797933578491, 3.229097843170166, 3.2851545810699463, 1.7351150512695312, 3.1104469299316406]]",3.7672815322875977,0.01888461224734783,2.395303964614868,2.395303964614868
Separate,1,18,500,2,0.0,"[[1.6398885250091553, 2.4688596725463867, 2.917604446411133, 2.5650503635406494, 2.557966709136963, 2.788764238357544]]",3.2694876194000244,0.017681043595075607,2.395303964614868,2.395303964614868
Separate,1,19,500,2,0.0,"[[3.356750011444092, 2.597426414489746, 3.937696933746338, 3.581937074661255, 5.61125373840332, 6.824114799499512]]",4.360867500305176,0.040263429284095764,2.395303964614868,2.395303964614868
Separate,1,20,500,2,0.0,"[[4.571566104888916, 6.770294189453125, 4.052125930786133, 3.531497001647949, 4.607089042663574, 6.081182479858398]]",4.132606029510498,0.03436993807554245,2.395303964614868,2.395303964614868
Separate,1,21,500,2,0.0,"[[3.278980255126953, 2.3560900688171387, 2.390277624130249, 2.70491886138916, 4.127679347991943, 3.1071839332580566]]",3.602879047393799,0.016912009567022324,2.395303964614868,2.395303964614868
Separate,1,22,500,2,0.0,"[[4.886960983276367, 4.7066497802734375, 4.632275104522705, 2.435065507888794, 3.8261027336120605, 5.4998626708984375]]",4.182405471801758,0.0221246387809515,2.395303964614868,2.395303964614868
Separate,1,23,500,2,0.0,"[[3.8295488357543945, 3.7940235137939453, 3.041804790496826, 3.318976402282715, 3.53572678565979, 3.6160924434661865]]",2.7035787105560303,0.020269304513931274,2.395303964614868,2.395303964614868
Separate,1,24,500,2,0.0,"[[4.831287384033203, 2.8314781188964844, 2.9833133220672607, 4.675280570983887, 4.193811893463135, 2.0657436847686768]]",2.90789532661438,0.007338326424360275,2.395303964614868,2.395303964614868
Separate,1,25,500,2,0.0,"[[4.104635238647461, 4.855961799621582, 2.266139507293701, 1.0684442520141602, 2.8546829223632812, 2.5811095237731934]]",5.331879615783691,0.01609671674668789,2.395303964614868,2.395303964614868
Separate,1,26,500,2,0.0,"[[4.576739311218262, 6.31333065032959, 4.3389177322387695, 5.3069376945495605, 3.5527780055999756, 3.466780662536621]]",4.043881893157959,0.01926415227353573,2.395303964614868,2.395303964614868
Separate,1,27,500,2,0.0,"[[5.218672752380371, 3.447911024093628, 3.7814924716949463, 3.637631893157959, 2.7591710090637207, 4.619250297546387]]",4.607478141784668,0.012625882402062416,2.395303964614868,2.395303964614868
Separate,1,28,500,2,0.0,"[[3.4526925086975098, 2.130906105041504, 4.74700927734375, 3.757188320159912, 4.384530544281006, 4.4914231300354]]",4.214472770690918,0.019090117886662483,2.395303964614868,2.395303964614868
Separate,1,29,500,2,0.0,"[[4.7220330238342285, 3.5875284671783447, 4.081133842468262, 3.8429856300354004, 5.476253986358643, 5.1927385330200195]]",4.248316764831543,0.020180657505989075,2.395303964614868,2.395303964614868
Separate,1,30,500,2,0.0,"[[3.618163824081421, 5.811704635620117, 4.006701946258545, 4.2753448486328125, 2.249437093734741, 2.077026605606079]]",2.9809165000915527,0.015853220596909523,2.395303964614868,2.395303964614868
Separate,1,31,500,2,0.0,"[[4.462300777435303, 4.75944709777832, 3.8139495849609375, 1.4119616746902466, 3.5533862113952637, 3.069204330444336]]",5.223781585693359,0.009675873443484306,2.395303964614868,2.395303964614868
Separate,1,32,500,2,0.0,"[[4.9264936447143555, 3.398088216781616, 2.893300771713257, 4.294699192047119, 5.653798580169678, 3.48129940032959]]",5.261439800262451,0.014426039531826973,2.395303964614868,2.395303964614868
Separate,1,33,500,2,0.0,"[[3.889718770980835, 3.2379560470581055, 1.8124520778656006, 2.6685116291046143, 2.4735820293426514, 2.2112715244293213]]",4.428286552429199,0.009070361964404583,2.395303964614868,2.395303964614868
Separate,1,34,500,2,0.0,"[[2.2951228618621826, 4.015812873840332, 5.023744106292725, 2.934675455093384, 4.046595573425293, 3.2395312786102295]]",3.2055699825286865,0.0163064394146204,2.395303964614868,2.395303964614868
Separate,1,35,500,2,0.0,"[[3.115654468536377, 2.2366883754730225, 4.255988597869873, 2.3491833209991455, 4.567351818084717, 4.6014580726623535]]",3.1378514766693115,0.020171115174889565,2.395303964614868,2.395303964614868
Separate,1,36,500,2,0.0,"[[2.618729591369629, 4.728402614593506, 3.5216753482818604, 1.8502246141433716, 1.829160451889038, 1.2084503173828125]]",2.1013965606689453,0.0023972808849066496,2.395303964614868,2.395303964614868
Separate,1,37,500,2,0.0,"[[4.476013660430908, 4.266674995422363, 3.1600608825683594, 3.8535587787628174, 5.6593017578125, 2.1796860694885254]]",3.4465012550354004,0.037142787128686905,2.395303964614868,2.395303964614868
Separate,1,38,500,2,0.0,"[[3.776944160461426, 4.124453544616699, 2.114335060119629, 2.2607545852661133, 3.898383378982544, 3.4318490028381348]]",4.885307788848877,0.028587760403752327,2.395303964614868,2.395303964614868
Separate,1,39,500,2,0.0,"[[3.4719698429107666, 4.208178997039795, 4.9805121421813965, 2.2028634548187256, 4.003596782684326, 2.5262858867645264]]",4.868310451507568,0.0283336341381073,2.395303964614868,2.395303964614868
Separate,1,40,500,2,0.0,"[[2.3085362911224365, 5.4427690505981445, 3.2832813262939453, 4.832424640655518, 2.4653477668762207, 4.162397861480713]]",3.8521735668182373,0.014763309620320797,2.395303964614868,2.395303964614868
Separate,1,41,500,2,0.0,"[[2.2107276916503906, 3.7949492931365967, 4.237430095672607, 2.9915380477905273, 4.112463474273682, 2.064607620239258]]",2.6749653816223145,0.01237158477306366,2.395303964614868,2.395303964614868
Separate,1,42,500,2,0.0,"[[5.523245334625244, 5.743128776550293, 3.112020969390869, 5.3480610847473145, 4.300432205200195, 4.386222839355469]]",3.472443103790283,0.03677733987569809,2.395303964614868,2.395303964614868
