Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest
Separate,1,0,500,50,0.0,,,,2.6151790618896484,2.6151790618896484
Separate,1,1,500,50,0.0,"[[3.8723061084747314, 3.3477931022644043, 0.25159046053886414, 1.0459589958190918, 2.2050323486328125, 3.20395827293396]]",4.148309230804443,0.012129804119467735,2.6151790618896484,2.6151790618896484
Separate,1,2,500,50,0.0,"[[2.3357455730438232, 3.9249770641326904, 3.646519184112549, 3.0165176391601562, 0.1819387972354889, 3.9582507610321045]]",4.059685707092285,0.008185979910194874,2.6151790618896484,2.6151790618896484
Separate,1,3,500,50,0.0,"[[4.042870998382568, 3.8605334758758545, 3.9293062686920166, 1.5170491933822632, 3.2068843841552734, 0.8454511165618896]]",2.055170774459839,0.030446290969848633,2.6151790618896484,2.6151790618896484
Separate,1,4,500,50,0.0,"[[5.101751804351807, 4.005859375, 0.7691996097564697, 1.146112322807312, 2.1056981086730957, 5.407100200653076]]",3.89281964302063,0.024793550372123718,2.6151790618896484,2.6151790618896484
Separate,1,5,500,50,0.0,"[[0.8566571474075317, 1.6413698196411133, 1.896952748298645, 3.190554618835449, 3.4469223022460938, 1.598961591720581]]",2.6398210525512695,0.02756103314459324,2.726936101913452,2.726936101913452
Separate,1,6,500,50,0.0,"[[1.5068520307540894, 3.107914686203003, 0.6839977502822876, 2.0302445888519287, 2.869493007659912, 0.8470810651779175]]",1.9025284051895142,0.02811647392809391,2.726936101913452,2.726936101913452
Separate,1,7,500,50,0.0,"[[1.0264830589294434, 4.388806343078613, 3.0533485412597656, 2.0634608268737793, 3.7415733337402344, 2.225245952606201]]",2.780442476272583,0.02950170263648033,2.726936101913452,2.726936101913452
Separate,1,8,500,50,0.0,"[[5.05096960067749, 3.406024217605591, 3.4337446689605713, 0.7809091806411743, 2.4631011486053467, 4.385181903839111]]",4.58486795425415,0.035655539482831955,2.726936101913452,2.726936101913452
Separate,1,9,500,50,0.0,"[[2.856142282485962, 2.3030548095703125, 0.3674290180206299, 0.7568202614784241, 3.5424211025238037, 3.921908140182495]]",2.1521425247192383,0.007294272538274527,2.726936101913452,2.726936101913452
Separate,1,10,500,50,0.0,"[[2.55898380279541, 4.122933864593506, 2.7679338455200195, 2.837630271911621, 4.092979907989502, 1.9776637554168701]]",4.346984386444092,0.06384172290563583,2.726936101913452,2.726936101913452
Separate,1,11,500,50,0.0,"[[3.3078951835632324, 1.1468515396118164, 2.4782886505126953, 2.3469505310058594, 2.9137556552886963, 1.9408326148986816]]",2.432971715927124,0.028699098154902458,2.726936101913452,2.726936101913452
Separate,1,12,500,50,0.0,"[[2.664182662963867, 1.6925721168518066, 1.8376840353012085, 3.125333786010742, 2.927757501602173, 2.6447691917419434]]",1.727159857749939,0.024472123011946678,2.726936101913452,2.726936101913452
Separate,1,13,500,50,0.0,"[[3.3425068855285645, 4.584568977355957, 2.5195839405059814, 4.076663494110107, 1.5564509630203247, 3.2923569679260254]]",1.4874516725540161,0.027378631755709648,2.726936101913452,2.726936101913452
Separate,1,14,500,50,0.0,"[[4.491862773895264, 2.245973825454712, 3.251742362976074, 4.036034107208252, 2.7720961570739746, 4.555643558502197]]",3.246650218963623,0.0594659298658371,2.726936101913452,2.726936101913452
Separate,1,15,500,50,0.0,"[[3.1230320930480957, 5.846924304962158, 1.0154021978378296, 2.3312456607818604, 2.4931766986846924, 2.8728420734405518]]",3.6197829246520996,0.02685784548521042,2.726936101913452,2.726936101913452
Separate,1,16,500,50,0.0,"[[2.0261263847351074, 3.2599713802337646, 1.8292479515075684, 2.696537494659424, 0.8464475274085999, 1.3398587703704834]]",2.8537960052490234,0.028529133647680283,2.726936101913452,2.726936101913452
Separate,1,17,500,50,0.0,"[[3.035487413406372, 3.918092727661133, 0.6590800285339355, 3.497072696685791, 3.0093398094177246, 4.33381462097168]]",3.745512008666992,0.036302968859672546,2.726936101913452,2.726936101913452
Separate,1,18,500,50,0.0,"[[3.518486261367798, 1.834658145904541, 3.8005948066711426, 2.409421920776367, 1.9935004711151123, 1.094840168952942]]",3.6777892112731934,0.044594746083021164,2.726936101913452,2.726936101913452
Separate,1,19,500,50,0.0,"[[1.3522140979766846, 2.9450578689575195, 2.5866596698760986, 2.934257984161377, 2.209688425064087, 3.5942492485046387]]",2.7712647914886475,0.09449504315853119,2.726936101913452,2.726936101913452
Separate,1,20,500,50,0.0,"[[2.1293437480926514, 0.29941126704216003, 2.6463375091552734, 3.5974650382995605, 4.514461994171143, 1.5185577869415283]]",3.8841657638549805,0.01004853192716837,2.726936101913452,2.726936101913452
Separate,1,21,500,50,0.0,"[[1.5693327188491821, 0.49015384912490845, 3.5648694038391113, 2.3720180988311768, 4.139160633087158, 2.6492958068847656]]",3.2751624584198,0.018062973394989967,2.726936101913452,2.726936101913452
Separate,1,22,500,50,0.0,"[[4.030141353607178, 3.3594207763671875, 2.8569142818450928, 0.13497702777385712, 4.6320881843566895, 3.0464348793029785]]",3.6127336025238037,0.01686425879597664,2.726936101913452,2.726936101913452
Separate,1,23,500,50,0.0,"[[4.430920124053955, 2.3849260807037354, 0.5004033446311951, 1.0151410102844238, 1.9176949262619019, 4.858042240142822]]",3.8650777339935303,0.027312997728586197,2.726936101913452,2.726936101913452
Separate,1,24,500,50,0.0,"[[0.9490287899971008, 2.6996612548828125, 2.3754029273986816, 2.971048355102539, 2.903095006942749, 3.455109119415283]]",1.3458011150360107,0.02471916563808918,2.726936101913452,2.726936101913452
Separate,1,25,500,50,0.0,"[[2.4762721061706543, 3.2456109523773193, 3.8985090255737305, 3.6238725185394287, 1.1402297019958496, 5.488838195800781]]",2.534409523010254,0.04442496970295906,2.726936101913452,2.726936101913452
