Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest
Separate,1,0,100,100,0.0,,,,2.4084243774414062,2.4084243774414062
Separate,1,1,100,100,0.0,"[[0.0616740882396698, 0.161027193069458, 0.1489916443824768, 0.580765962600708, 0.23680263757705688, 0.033453185111284256]]",2.3723678588867188,3.5398595333099365,2.4084243774414062,2.4084243774414062
Separate,1,2,100,100,0.0,"[[4.168540000915527, 1.6205700635910034, 3.6007907390594482, 4.835360050201416, 5.111955165863037, 3.2220466136932373]]",3.7834746837615967,0.1068977564573288,2.4084243774414062,2.4084243774414062
Separate,1,3,100,100,0.0,"[[3.2809579372406006, 2.2757537364959717, 2.438638687133789, 0.31899532675743103, 4.2745747566223145, 3.2946529388427734]]",3.167189359664917,0.020452037453651428,2.4084243774414062,2.4084243774414062
Separate,1,4,100,100,0.0,"[[3.3272151947021484, 2.3883931636810303, 1.3718074560165405, 2.310030221939087, 2.854315996170044, 1.4134992361068726]]",1.9569458961486816,3.976412057876587,2.4084243774414062,2.4084243774414062
Separate,1,5,100,100,0.0,"[[2.2650089263916016, 3.071141004562378, 2.6253321170806885, 3.052703857421875, 2.372215747833252, 5.10526704788208]]",3.483459234237671,0.2886509895324707,2.4084243774414062,2.4084243774414062
Separate,1,6,100,100,0.0,"[[3.5261318683624268, 3.0723354816436768, 3.10174298286438, 5.8167924880981445, 4.170836448669434, 5.683449745178223]]",2.7125587463378906,0.10461494326591492,2.4084243774414062,2.4084243774414062
Separate,1,7,100,100,0.0,"[[3.8801565170288086, 2.0951082706451416, 1.896443486213684, 2.997159242630005, 3.658266067504883, 5.677886009216309]]",2.471512794494629,0.07245370000600815,2.4084243774414062,2.4084243774414062
Separate,1,8,100,100,0.0,"[[3.0267529487609863, 2.3434765338897705, 1.50838041305542, 2.1478159427642822, 0.32598960399627686, 2.4334819316864014]]",2.749340534210205,0.03257741779088974,2.4084243774414062,2.4084243774414062
Separate,1,9,100,100,0.0,"[[4.841983318328857, 4.123470783233643, 0.1808527112007141, 2.6286280155181885, 2.8563897609710693, 4.487032413482666]]",2.8329968452453613,0.007038947660475969,2.4084243774414062,2.4084243774414062
Separate,1,10,100,100,0.0,"[[4.5686845779418945, 3.2898976802825928, 2.851008892059326, 2.244105339050293, 5.78214693069458, 4.555263996124268]]",1.283487319946289,0.06751495599746704,2.4084243774414062,2.4084243774414062
Separate,1,11,100,100,0.0,"[[5.3603081703186035, 3.1542394161224365, 2.530972480773926, 2.2909862995147705, 1.5119813680648804, 4.307155609130859]]",3.101780414581299,0.12679722905158997,2.4084243774414062,2.4084243774414062
Separate,1,12,100,100,0.0,"[[5.369255065917969, 0.5912907719612122, 4.601627349853516, 5.025069236755371, 3.117405891418457, 1.273290991783142]]",3.4616544246673584,0.03816445171833038,2.4084243774414062,2.4084243774414062
Separate,1,13,100,100,0.0,"[[1.6400799751281738, 2.4475934505462646, 3.256857395172119, 2.5890755653381348, 2.0027129650115967, 1.8826013803482056]]",3.5210037231445312,0.0994129329919815,2.4084243774414062,2.4084243774414062
Separate,1,14,100,100,0.0,"[[3.9483282566070557, 1.4971880912780762, 2.0385780334472656, 5.556872367858887, 3.8270821571350098, 4.163119792938232]]",4.1513495445251465,0.09525830298662186,2.4084243774414062,2.4084243774414062
Separate,1,15,100,100,0.0,"[[2.4854485988616943, 5.370072364807129, 2.994328260421753, 4.670325756072998, 2.4832167625427246, 4.408990383148193]]",2.954699754714966,0.3831867575645447,2.4084243774414062,2.4084243774414062
Separate,1,16,100,100,0.0,"[[4.384634017944336, 2.038687229156494, 2.232412815093994, 3.77364444732666, 2.66733455657959, 1.5179600715637207]]",2.5238327980041504,0.018249887973070145,2.4084243774414062,2.4084243774414062
