Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest
Separate,1,0,50,50,0.0,,,,2.3143184185028076,2.3143184185028076
Separate,1,1,50,50,0.0,"[[0.39943546056747437, 0.21666932106018066, 0.051705360412597656, 0.1622915267944336, 0.13763758540153503, 0.13088065385818481]]",3.366588830947876,2.7175867557525635,2.3992347717285156,2.3992347717285156
Separate,1,2,50,50,0.0,"[[2.6236813068389893, 2.3126564025878906, 2.3978328704833984, 1.4172579050064087, 1.8614979982376099, 3.647024631500244]]",3.010181427001953,0.8940922021865845,2.3992347717285156,2.3992347717285156
Separate,1,3,50,50,0.0,"[[4.964165210723877, 2.232806444168091, 2.72489070892334, 3.3841309547424316, 1.925638198852539, 3.9114978313446045]]",3.370561122894287,0.5236142873764038,2.3992347717285156,2.3992347717285156
Separate,1,4,50,50,0.0,"[[2.4864604473114014, 2.924297332763672, 3.5991454124450684, 2.583561420440674, 4.691694259643555, 4.024317264556885]]",4.723465442657471,0.06747756153345108,2.3992347717285156,2.3992347717285156
Separate,1,5,50,50,0.0,"[[0.5635715126991272, 6.485244274139404, 5.0269012451171875, 2.919922351837158, 4.412169456481934, 3.3019843101501465]]",4.172148704528809,0.01830015704035759,2.3992347717285156,2.3992347717285156
Separate,1,6,50,50,0.0,"[[1.2036325931549072, 1.821236491203308, 3.742609977722168, 2.7320661544799805, 3.8327784538269043, 2.994248867034912]]",3.821397066116333,0.02815117873251438,2.3992347717285156,2.3992347717285156
Separate,1,7,50,50,0.0,"[[5.818358421325684, 2.459892749786377, 1.5728740692138672, 2.6978671550750732, 4.06685733795166, 3.980612277984619]]",3.3644063472747803,0.01206987351179123,2.3992347717285156,2.3992347717285156
Separate,1,8,50,50,0.0,"[[6.024996280670166, 0.44385772943496704, 3.694690227508545, 4.638831615447998, 4.829193115234375, 5.688960075378418]]",6.072065353393555,0.004231036640703678,2.3992347717285156,2.3992347717285156
Separate,1,9,50,50,0.0,"[[5.582749843597412, 5.40653657913208, 3.2302029132843018, 2.368831157684326, 3.820173978805542, 4.689678192138672]]",3.89058780670166,0.08643267303705215,2.3992347717285156,2.3992347717285156
Separate,1,10,50,50,0.0,"[[0.6537750959396362, 1.8687896728515625, 2.6524529457092285, 3.07545804977417, 1.0792855024337769, 2.3980982303619385]]",3.662642478942871,3.8323702812194824,2.3992347717285156,2.3992347717285156
Separate,1,11,50,50,0.0,"[[2.013507604598999, 2.0959529876708984, 2.3442258834838867, 2.7297823429107666, 3.7428677082061768, 0.3767234981060028]]",3.825564384460449,2.4327170848846436,2.3992347717285156,2.3992347717285156
Separate,1,12,50,50,0.0,"[[3.1465916633605957, 4.528918743133545, 3.726600408554077, 1.7641839981079102, 4.341590404510498, 3.1602137088775635]]",5.574175834655762,0.04842112958431244,2.3992347717285156,2.3992347717285156
Separate,1,13,50,50,0.0,"[[4.510474681854248, 2.919041156768799, 3.5511116981506348, 3.8061091899871826, 2.794116973876953, 1.9308254718780518]]",2.9093427658081055,0.03653063625097275,2.3992347717285156,2.3992347717285156
Separate,1,14,50,50,0.0,"[[3.120631456375122, 1.8907197713851929, 2.37087082862854, 1.568544626235962, 2.9698357582092285, 2.0629076957702637]]",3.717233657836914,0.03616112098097801,2.3992347717285156,2.3992347717285156
Separate,1,15,50,50,0.0,"[[4.379474639892578, 4.576811790466309, 4.5356035232543945, 5.143248558044434, 5.304876327514648, 4.1823577880859375]]",3.1322667598724365,0.0899028554558754,2.3992347717285156,2.3992347717285156
Separate,1,16,50,50,0.0,"[[2.766770839691162, 2.405848979949951, 3.1835849285125732, 3.1586759090423584, 3.5783755779266357, 1.7351365089416504]]",3.3870160579681396,0.03070376068353653,2.3992347717285156,2.3992347717285156
Separate,1,17,50,50,0.0,"[[1.967587947845459, 4.052628517150879, 3.666766405105591, 3.33079195022583, 5.107771873474121, 3.2653794288635254]]",2.6389553546905518,0.0219010841101408,2.3992347717285156,2.3992347717285156
Separate,1,18,50,50,0.0,"[[1.7145500183105469, 4.416734218597412, 4.422626972198486, 3.142691135406494, 2.5368902683258057, 4.466286659240723]]",3.660632371902466,0.07477429509162903,2.3992347717285156,2.3992347717285156
Separate,1,19,50,50,0.0,"[[2.815092086791992, 2.0878853797912598, 2.9675419330596924, 2.7835450172424316, 3.690688133239746, 5.286576271057129]]",3.2151119709014893,0.019022446125745773,2.3992347717285156,2.3992347717285156
Separate,1,20,50,50,0.0,"[[3.371307611465454, 5.36762809753418, 5.7090888023376465, 4.531349182128906, 2.5490505695343018, 2.2370152473449707]]",4.168916702270508,0.06168708950281143,2.3992347717285156,2.3992347717285156
Separate,1,21,50,50,0.0,"[[2.2960526943206787, 5.414073944091797, 5.290465831756592, 3.1671242713928223, 5.804884433746338, 3.3786823749542236]]",2.9832911491394043,0.032518792897462845,2.3992347717285156,2.3992347717285156
Separate,1,22,50,50,0.0,"[[2.4129269123077393, 3.5506107807159424, 2.929157018661499, 4.485617160797119, 2.782466411590576, 2.6321163177490234]]",5.153023719787598,0.32341790199279785,2.3992347717285156,2.3992347717285156
Separate,1,23,50,50,0.0,"[[5.913265228271484, 4.647815227508545, 3.1164517402648926, 3.607468366622925, 5.4779486656188965, 5.170017242431641]]",2.7612714767456055,0.014966079965233803,2.3992347717285156,2.3992347717285156
Separate,1,24,50,50,0.0,"[[0.9934905171394348, 3.804460287094116, 3.565584897994995, 2.2560107707977295, 3.125518321990967, 2.386046886444092]]",2.086061477661133,0.023735223338007927,2.3992347717285156,2.3992347717285156
Separate,1,25,50,50,0.0,"[[3.1683907508850098, 3.896158218383789, 4.465249538421631, 3.441974639892578, 4.20440149307251, 3.317945957183838]]",2.604914426803589,0.019947946071624756,2.3992347717285156,2.3992347717285156
Separate,1,26,50,50,0.0,"[[2.793201208114624, 4.570639610290527, 3.414336919784546, 2.9937517642974854, 3.2324209213256836, 4.945804595947266]]",3.433472156524658,0.02246175706386566,2.3992347717285156,2.3992347717285156
Separate,1,27,50,50,0.0,"[[3.6737802028656006, 5.3984880447387695, 3.4560129642486572, 3.9801337718963623, 3.0796549320220947, 2.660491943359375]]",4.680406093597412,0.03491930663585663,2.3992347717285156,2.3992347717285156
