Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest
Separate,1,0,200,20,0.0,,,,2.7212700843811035,2.7212700843811035
Separate,1,1,200,20,0.0,"[[2.628037214279175, 3.7707409858703613, 0.9647666811943054, 2.4232964515686035, 3.1231796741485596, 3.723273754119873]]",3.952723741531372,0.016467692330479622,2.7212700843811035,2.7212700843811035
Separate,1,2,200,20,0.0,"[[4.622492790222168, 4.2310709953308105, 0.7690885663032532, 2.8245420455932617, 4.401202201843262, 5.362788200378418]]",3.978649377822876,0.012268457561731339,2.7212700843811035,2.7212700843811035
Separate,1,3,200,20,0.0,"[[1.7300639152526855, 3.5590343475341797, 2.660463571548462, 2.9969747066497803, 3.2589540481567383, 1.542405366897583]]",3.5254900455474854,0.013843158259987831,2.7212700843811035,2.7212700843811035
Separate,1,4,200,20,0.0,"[[1.027393102645874, 3.575442314147949, 2.6744370460510254, 4.399240970611572, 3.813992500305176, 3.4560775756835938]]",4.329831123352051,0.012746250256896019,2.7212700843811035,2.7212700843811035
Separate,1,5,200,20,0.0,"[[5.189582824707031, 3.6098029613494873, 2.257169246673584, 3.954190254211426, 2.386171579360962, 0.7112594842910767]]",3.652557373046875,0.004364324267953634,2.7212700843811035,2.7212700843811035
Separate,1,6,200,20,0.0,"[[3.5232536792755127, 0.9494071006774902, 0.8983869552612305, 2.471724510192871, 2.6487343311309814, 4.167947769165039]]",2.04087495803833,0.007361473515629768,2.7212700843811035,2.7212700843811035
Separate,1,7,200,20,0.0,"[[3.633240222930908, 3.7095699310302734, 3.116041898727417, 3.2876217365264893, 3.612504243850708, 2.835655689239502]]",2.230764865875244,0.024740958586335182,2.7212700843811035,2.7212700843811035
Separate,1,8,200,20,0.0,"[[2.685586929321289, 4.480663299560547, 0.8983741998672485, 3.3373470306396484, 4.358111381530762, 4.357277870178223]]",1.4972678422927856,0.009168927557766438,2.7212700843811035,2.7212700843811035
Separate,1,9,200,20,0.0,"[[3.4807682037353516, 3.345942258834839, 0.7343035936355591, 3.914062976837158, 3.1799023151397705, 2.078662633895874]]",3.0528359413146973,0.021127553656697273,2.7212700843811035,2.7212700843811035
Separate,1,10,200,20,0.0,"[[6.067980766296387, 3.9622883796691895, 2.3334102630615234, 4.195183753967285, 4.985930919647217, 3.8885700702667236]]",4.712939262390137,0.06577937304973602,2.7212700843811035,2.7212700843811035
Separate,1,11,200,20,0.0,"[[2.959078311920166, 1.988141655921936, 1.1569225788116455, 2.849175214767456, 4.654474258422852, 1.0387248992919922]]",2.8340446949005127,0.009801044128835201,2.7212700843811035,2.7212700843811035
Separate,1,12,200,20,0.0,"[[4.022651672363281, 3.8980679512023926, 2.238448143005371, 0.8622530102729797, 4.231454849243164, 4.630954742431641]]",5.130757808685303,0.010514098219573498,2.7212700843811035,2.7212700843811035
Separate,1,13,200,20,0.0,"[[3.2317144870758057, 3.7206106185913086, 2.491748094558716, 0.6101586818695068, 4.002086639404297, 4.296365737915039]]",4.078665733337402,0.013593875803053379,2.7212700843811035,2.7212700843811035
Separate,1,14,200,20,0.0,"[[3.9562530517578125, 5.228833198547363, 1.2018040418624878, 4.400343418121338, 3.6546671390533447, 5.077634811401367]]",4.983091831207275,0.028735516592860222,2.7212700843811035,2.7212700843811035
