Method,Simulation,Epoch,N,Actions,LengthScale,OutputScale,Noise,obsBest,trueBest
Separate,1,0,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,1,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,2,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,3,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,4,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,5,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,6,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,7,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,8,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,9,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,10,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,11,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,12,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,13,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.2159262895584106
Separate,1,14,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.5391064882278442
Separate,1,15,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.5391064882278442
Separate,1,16,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.5391064882278442
Separate,1,17,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.5391064882278442
Separate,1,18,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.5391064882278442
Separate,1,19,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.5391064882278442
Separate,1,20,100,10,1.0,1.0,0.10000000149011612,2.135890483856201,1.5391064882278442
Separate,2,0,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.49678951501846313
Separate,2,1,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.49678951501846313
Separate,2,2,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.49678951501846313
Separate,2,3,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.49678951501846313
Separate,2,4,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.5932455062866211
Separate,2,5,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.6341727375984192
Separate,2,6,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.6341727375984192
Separate,2,7,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.6341727375984192
Separate,2,8,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,9,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,10,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,11,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,12,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,13,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,14,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,15,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,16,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,17,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,18,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,19,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,2,20,100,10,1.0,1.0,0.10000000149011612,1.5385692119598389,0.9941760301589966
Separate,3,0,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,1,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,2,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,3,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,4,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,5,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,6,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,7,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,8,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,9,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,10,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,11,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,12,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,13,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,14,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,15,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,16,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,17,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,18,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,19,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,3,20,100,10,1.0,1.0,0.10000000149011612,1.732346773147583,2.261497735977173
Separate,4,0,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,1,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,2,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,3,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,4,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,5,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,6,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,7,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,8,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,9,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,10,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,11,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,12,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,13,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,14,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,15,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,16,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,17,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,18,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,19,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,4,20,100,10,1.0,1.0,0.10000000149011612,2.400444269180298,2.055088996887207
Separate,5,0,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,1,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,2,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,3,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,4,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,5,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,6,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,7,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,8,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,9,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,10,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,11,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,12,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,13,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,14,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,15,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,16,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,17,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,18,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,19,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,5,20,100,10,1.0,1.0,0.10000000149011612,2.1810452938079834,2.311840057373047
Separate,6,0,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,1,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,2,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,3,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,4,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,5,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,6,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,7,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,8,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,9,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,10,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,11,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,12,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,13,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,14,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,15,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,16,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,17,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,18,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,19,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,6,20,100,10,1.0,1.0,0.10000000149011612,2.767364501953125,2.5892646312713623
Separate,7,0,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,1,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,2,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,3,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,4,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,5,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,6,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,7,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,8,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,9,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,10,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,11,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,12,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,13,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,14,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,15,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,16,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,17,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,18,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,19,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,7,20,100,10,1.0,1.0,0.10000000149011612,3.214268922805786,2.7725136280059814
Separate,8,0,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,1,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,2,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,3,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,4,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,5,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,6,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,7,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,8,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,9,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,10,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,11,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,12,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,13,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,14,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,15,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,16,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,17,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,18,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,19,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,8,20,100,10,1.0,1.0,0.10000000149011612,2.8539819717407227,2.463752508163452
Separate,9,0,100,10,1.0,1.0,0.10000000149011612,2.6243622303009033,2.4011807441711426
Separate,9,1,100,10,1.0,1.0,0.10000000149011612,2.6243622303009033,2.4011807441711426
Separate,9,2,100,10,1.0,1.0,0.10000000149011612,2.6243622303009033,2.4011807441711426
Separate,9,3,100,10,1.0,1.0,0.10000000149011612,2.6243622303009033,2.4011807441711426
Separate,9,4,100,10,1.0,1.0,0.10000000149011612,2.6243622303009033,2.4011807441711426
Separate,9,5,100,10,1.0,1.0,0.10000000149011612,2.6243622303009033,2.4011807441711426
Separate,9,6,100,10,1.0,1.0,0.10000000149011612,2.6243622303009033,2.4011807441711426
Separate,9,7,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,8,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,9,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,10,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,11,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,12,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,13,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,14,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,15,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,16,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,17,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,18,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
Separate,9,19,100,10,1.0,1.0,0.10000000149011612,2.7348296642303467,2.4011807441711426
