Method,Simulation,Epoch,N,Actions,ActsName,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest,cpuTime
Separate,1,0,100,10,sqrt(N) Actions,0.0,,,,2.41548228263855,2.41548228263855,
Separate,1,1,101,10,sqrt(N) Actions,0.0,"[[0.06189620494842529, 0.5449748635292053, 0.07423041760921478, 0.23200224339962006, 0.04064827039837837, 0.1635075956583023]]",2.3980941772460938,5.722053050994873,2.41548228263855,2.41548228263855,5.370346550999999
Separate,1,2,102,10,sqrt(N) Actions,0.0,"[[0.06189620494842529, 0.5449748635292053, 0.07423041760921478, 0.23200224339962006, 0.04064827039837837, 0.1635075956583023]]",2.3980941772460938,5.722053050994873,2.41548228263855,2.41548228263855,5.3190778189999985
Separate,1,3,103,10,sqrt(N) Actions,0.0,"[[0.06189620494842529, 0.5449748635292053, 0.07423041760921478, 0.23200224339962006, 0.04064827039837837, 0.1635075956583023]]",2.3980941772460938,5.722053050994873,2.41548228263855,2.41548228263855,5.319038928000001
Separate,1,4,104,10,sqrt(N) Actions,0.0,"[[0.06189620494842529, 0.5449748635292053, 0.07423041760921478, 0.23200224339962006, 0.04064827039837837, 0.1635075956583023]]",2.3980941772460938,5.722053050994873,2.41548228263855,2.41548228263855,5.314337611999999
Separate,1,5,105,10,sqrt(N) Actions,0.0,"[[0.06189620494842529, 0.5449748635292053, 0.07423041760921478, 0.23200224339962006, 0.04064827039837837, 0.1635075956583023]]",2.3980941772460938,5.722053050994873,2.41548228263855,2.41548228263855,5.3173222600000045
Separate,1,6,106,10,sqrt(N) Actions,0.0,"[[0.06189620494842529, 0.5449748635292053, 0.07423041760921478, 0.23200224339962006, 0.04064827039837837, 0.1635075956583023]]",2.3980941772460938,5.722053050994873,2.41548228263855,2.41548228263855,5.322731476999998
Separate,1,7,107,10,sqrt(N) Actions,0.0,"[[0.06189620494842529, 0.5449748635292053, 0.07423041760921478, 0.23200224339962006, 0.04064827039837837, 0.1635075956583023]]",2.3980941772460938,5.722053050994873,2.41548228263855,2.41548228263855,5.317763399
Separate,1,8,108,10,sqrt(N) Actions,0.0,"[[0.06189620494842529, 0.5449748635292053, 0.07423041760921478, 0.23200224339962006, 0.04064827039837837, 0.1635075956583023]]",2.3980941772460938,5.722053050994873,2.41548228263855,2.41548228263855,5.319950706
Separate,1,9,109,10,sqrt(N) Actions,0.0,"[[0.06189620494842529, 0.5449748635292053, 0.07423041760921478, 0.23200224339962006, 0.04064827039837837, 0.1635075956583023]]",2.3980941772460938,5.722053050994873,2.41548228263855,2.41548228263855,5.3213214830000055
