Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest
Separate,1,0,100,10,0.0,,,,1.143838882446289,1.143838882446289
Separate,1,1,100,10,0.0,"[[3.902292251586914, 5.339439868927002, 2.0182976722717285, 3.539541244506836, 4.102447032928467, 3.6463873386383057]]",3.9650044441223145,0.0068293604999780655,1.143838882446289,1.143838882446289
Separate,1,2,100,10,0.0,"[[4.344545841217041, 5.6750969886779785, 2.8557746410369873, 4.906911373138428, 4.173188209533691, 4.578820705413818]]",2.8168368339538574,0.006811586208641529,1.143838882446289,1.143838882446289
Separate,1,3,100,10,0.0,"[[3.8505780696868896, 3.3783600330352783, 2.901355743408203, 2.9407424926757812, 4.697067737579346, 4.8967461585998535]]",2.3561935424804688,0.011653589084744453,1.143838882446289,1.143838882446289
Separate,1,4,100,10,0.0,"[[2.698061943054199, 2.647273302078247, 2.8493266105651855, 2.1958954334259033, 2.5511972904205322, 3.5132927894592285]]",3.339578628540039,0.007912298664450645,1.143838882446289,1.143838882446289
Separate,1,5,100,10,0.0,"[[3.476557493209839, 4.721123218536377, 2.9790186882019043, 1.4207602739334106, 4.881910800933838, 4.16185998916626]]",2.475987434387207,0.003071481827646494,1.143838882446289,1.143838882446289
Separate,1,6,100,10,0.0,"[[3.162102460861206, 2.320784568786621, 5.046942234039307, 3.2334511280059814, 5.617166519165039, 3.96584415435791]]",4.128619194030762,0.027289189398288727,1.143838882446289,1.143838882446289
Separate,1,7,100,10,0.0,"[[3.0314295291900635, 1.2238355875015259, 3.6057825088500977, 3.4105300903320312, 3.302600622177124, 3.7702579498291016]]",5.443631172180176,0.01658891700208187,1.143838882446289,1.143838882446289
Separate,1,8,100,10,0.0,"[[1.0823794603347778, 1.4667341709136963, 2.050614833831787, 0.325093150138855, 1.0187442302703857, 1.0178749561309814]]",2.557767391204834,5.342562198638916,1.143838882446289,1.143838882446289
Separate,1,9,100,10,0.0,"[[5.570968151092529, 2.7710726261138916, 2.7581119537353516, 6.424337863922119, 6.863462448120117, 4.365147590637207]]",5.554162979125977,0.006337856873869896,3.0131053924560547,3.0131053924560547
Separate,1,10,100,10,0.0,"[[4.5134358406066895, 5.363831043243408, 2.524975299835205, 3.9459855556488037, 5.749663829803467, 4.705946922302246]]",3.8129289150238037,0.05530880391597748,3.0131053924560547,3.0131053924560547
Separate,1,11,100,10,0.0,"[[2.2265498638153076, 2.9908173084259033, 2.1508710384368896, 5.550129413604736, 5.347309589385986, 1.8503936529159546]]",4.173465728759766,0.011587200686335564,3.0131053924560547,3.0131053924560547
Separate,1,12,100,10,0.0,"[[2.5960159301757812, 6.335612773895264, 3.014370918273926, 1.5102355480194092, 3.6430294513702393, 3.9720993041992188]]",4.149955749511719,0.006476118694990873,3.0131053924560547,3.0131053924560547
Separate,1,13,100,10,0.0,"[[3.5168516635894775, 4.001047134399414, 2.3496499061584473, 2.0690245628356934, 2.8644192218780518, 3.9217114448547363]]",4.496650218963623,0.007160949055105448,3.0131053924560547,3.0131053924560547
Separate,1,14,100,10,0.0,"[[1.452149748802185, 1.715416669845581, 1.6809147596359253, 2.6586415767669678, 2.9427363872528076, 3.6981492042541504]]",3.1296494007110596,0.033208299428224564,3.0131053924560547,3.0131053924560547
Separate,1,15,100,10,0.0,"[[2.469059467315674, 4.35780143737793, 2.0221493244171143, 3.233917236328125, 3.9820995330810547, 3.438372850418091]]",3.6587555408477783,0.016828754916787148,3.0131053924560547,3.0131053924560547
Separate,1,16,100,10,0.0,"[[2.454172134399414, 2.629408121109009, 1.8887879848480225, 3.112281322479248, 2.3487606048583984, 2.5517354011535645]]",3.5479581356048584,0.02192140743136406,3.0131053924560547,3.0131053924560547
Separate,1,17,100,10,0.0,"[[2.3031530380249023, 5.498230934143066, 2.8628766536712646, 3.9012203216552734, 2.9060561656951904, 3.706897258758545]]",3.89163875579834,0.014524559490382671,3.0131053924560547,3.0131053924560547
Separate,1,18,100,10,0.0,"[[3.4920074939727783, 3.7178308963775635, 3.8713982105255127, 4.332461833953857, 5.821378231048584, 4.658331394195557]]",4.504812240600586,0.011684202589094639,3.0131053924560547,3.0131053924560547
Separate,1,19,100,10,0.0,"[[5.660469055175781, 3.514350414276123, 6.056234836578369, 4.6588921546936035, 5.364708423614502, 4.248398780822754]]",3.874758005142212,0.020757848396897316,3.0131053924560547,3.0131053924560547
Separate,1,20,100,10,0.0,"[[1.6912989616394043, 2.640599489212036, 3.8428845405578613, 2.673734426498413, 2.420956611633301, 4.0072550773620605]]",3.320331335067749,0.008343733847141266,3.0131053924560547,3.0131053924560547
Separate,1,21,100,10,0.0,"[[2.3343944549560547, 3.3462696075439453, 3.9102563858032227, 2.926401138305664, 3.52034068107605, 3.7578864097595215]]",2.29990553855896,0.016014032065868378,3.0131053924560547,3.0131053924560547
Separate,1,22,100,10,0.0,"[[4.105679512023926, 4.774964332580566, 3.9630544185638428, 5.482555389404297, 5.402050971984863, 6.278518199920654]]",6.171782970428467,0.023854685947299004,3.0131053924560547,3.0131053924560547
