Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest,cpuTime
Separate,1,0,100,15,0.0,,,,2.214317560195923,2.214317560195923,
Separate,1,1,100,15,0.0,"[[4.012556076049805, 3.6858057975769043, 1.6598379611968994, 3.784890651702881, 3.501232385635376, 4.102161884307861]]",4.292377948760986,0.010606247931718826,2.214317560195923,2.214317560195923,27.187400493000002
Separate,1,2,100,15,0.0,"[[3.91835880279541, 3.7707738876342773, 2.6704444885253906, 5.130660057067871, 1.7934213876724243, 3.1519956588745117]]",5.282709121704102,0.00950019620358944,2.214317560195923,2.214317560195923,25.169096775000003
Separate,1,3,100,15,0.0,"[[3.856407642364502, 4.630675315856934, 2.7044272422790527, 4.304790496826172, 2.9222347736358643, 1.4372118711471558]]",5.585325241088867,0.006184687372297049,2.214317560195923,2.214317560195923,25.285909456
Separate,1,4,100,15,0.0,"[[2.812783718109131, 5.296069622039795, 1.283555507659912, 3.593935489654541, 2.3865914344787598, 5.677858829498291]]",5.857783794403076,0.014902930706739426,2.214317560195923,2.214317560195923,25.606405527999996
Separate,1,5,100,15,0.0,"[[4.958682060241699, 3.7608838081359863, 3.6758227348327637, 4.94891881942749, 1.9022325277328491, 3.008660078048706]]",2.9542524814605713,0.01009154599159956,2.214317560195923,2.214317560195923,25.40757748099999
Separate,1,6,100,15,0.0,"[[6.156630992889404, 2.1166303157806396, 2.908646583557129, 4.009415626525879, 3.930955171585083, 1.815441608428955]]",3.510669231414795,0.006430927198380232,2.214317560195923,2.214317560195923,24.893402811000016
Separate,1,7,100,15,0.0,"[[2.7521514892578125, 2.2159433364868164, 1.5338871479034424, 3.319072723388672, 1.8011314868927002, 5.827936172485352]]",4.912762641906738,0.017596721649169922,2.214317560195923,2.214317560195923,24.842982078999995
Separate,1,8,100,15,0.0,"[[3.7578847408294678, 3.8035202026367188, 2.99165678024292, 0.7900635004043579, 3.7398123741149902, 3.7358288764953613]]",3.1593546867370605,0.005157093517482281,2.214317560195923,2.214317560195923,24.86633108999999
Separate,1,9,100,15,0.0,"[[2.540841579437256, 2.4173452854156494, 2.8172359466552734, 3.6323397159576416, 2.052513837814331, 1.2681748867034912]]",3.5571272373199463,0.006037894636392593,2.214317560195923,2.214317560195923,24.834794877999997
