Method,Simulation,Epoch,N,Actions,ActsName,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest,cpuTime
Separate,1,0,100,6,6 Actions,0.0,,,,1.3913053274154663,1.3913053274154663,
Separate,1,1,101,6,6 Actions,0.0,"[[3.898188352584839, 5.079401016235352, 2.992948532104492, 4.683959484100342, 4.469684600830078, 5.077395915985107]]",5.2240519523620605,0.0016775504918769,1.3913053274154663,1.3913053274154663,15.381796018
Separate,1,2,102,6,6 Actions,0.0,"[[4.090296268463135, 5.349010467529297, 3.057223320007324, 5.051044464111328, 4.7920732498168945, 5.385380744934082]]",5.548768043518066,0.0007491108262911,1.3913053274154663,1.3913053274154663,13.842129471
Separate,1,3,103,6,6 Actions,0.0,"[[4.582467555999756, 5.806025505065918, 3.5909528732299805, 5.5817646980285645, 5.305870056152344, 5.8223137855529785]]",6.080539226531982,0.0002990615030284,1.3913053274154663,1.3913053274154663,13.728027208999997
Separate,1,4,104,6,6 Actions,0.0,"[[4.952085971832275, 6.1256537437438965, 4.0990166664123535, 5.761600971221924, 5.537317752838135, 6.159651756286621]]",6.42301607131958,0.0001297044072998,1.3913053274154663,1.3913053274154663,13.764470746999995
Separate,1,5,105,6,6 Actions,0.0,"[[5.162440776824951, 6.285613536834717, 4.288416385650635, 5.941570281982422, 5.618245601654053, 6.425411224365234]]",6.640446662902832,5.7520031987223774e-05,1.3913053274154663,1.3913053274154663,13.907100204999992
Separate,1,6,106,6,6 Actions,0.0,"[[5.43024206161499, 6.486035346984863, 4.61768913269043, 6.249835014343262, 5.60780668258667, 6.531307220458984]]",6.9963154792785645,3.451707016211003e-05,1.3913053274154663,1.3913053274154663,13.963397794000002
Separate,1,7,107,6,6 Actions,0.0,"[[5.619593620300293, 6.6558122634887695, 4.781594753265381, 6.526851654052734, 5.611303806304932, 6.740495204925537]]",7.249203205108643,1.5783123672008514e-05,1.3913053274154663,1.3913053274154663,14.296154338000008
Separate,1,8,108,6,6 Actions,0.0,"[[5.519442081451416, 6.806588172912598, 5.04598331451416, 6.688987731933594, 5.607964038848877, 6.870717525482178]]",7.424375057220459,7.88620218372671e-06,1.3913053274154663,1.3913053274154663,13.736589734000006
Separate,1,9,109,6,6 Actions,0.0,"[[5.9158172607421875, 7.111664772033691, 5.243280410766602, 7.072515964508057, 5.697898864746094, 7.059815406799316]]",7.876892566680908,2.3105483251129044e-06,1.3913053274154663,1.3913053274154663,13.753478541999996
Separate,1,10,110,6,6 Actions,0.0,"[[6.103368282318115, 7.384216785430908, 5.5445709228515625, 7.373076438903809, 5.569799900054932, 7.353610992431641]]",8.16759967803955,1.1660821428449708e-06,1.3913053274154663,1.3913053274154663,13.753354217999998
Separate,2,0,100,6,6 Actions,0.0,,,,1.9303615093231201,1.9303615093231201,
Separate,2,1,101,6,6 Actions,0.0,"[[3.8526926040649414, 4.357981204986572, 3.882249355316162, 4.2914958000183105, 4.156739234924316, 4.2785563468933105]]",4.541926383972168,0.004916983190923929,1.9303615093231201,1.9303615093231201,15.30196
Separate,2,2,102,6,6 Actions,0.0,"[[4.871306419372559, 5.358523845672607, 4.051485538482666, 5.337318420410156, 5.211238384246826, 5.452579021453857]]",5.650153160095215,0.0011009883601218462,1.9303615093231201,1.9303615093231201,13.898853509999999
Separate,2,3,103,6,6 Actions,0.0,"[[5.305646896362305, 5.760801792144775, 4.195362567901611, 5.7741241455078125, 5.598003387451172, 5.823733329772949]]",6.0594482421875,0.00055648700799793,1.9303615093231201,1.9303615093231201,13.872276626999998
Separate,2,4,104,6,6 Actions,0.0,"[[5.382248401641846, 6.065738201141357, 4.313879013061523, 6.097584247589111, 5.786930084228516, 6.147005558013916]]",6.391953468322754,0.00022779132996220142,1.9303615093231201,1.9303615093231201,14.218202466999998
Separate,2,5,105,6,6 Actions,0.0,"[[5.2312331199646, 6.4279632568359375, 4.601071357727051, 6.425509452819824, 6.11928653717041, 6.478342533111572]]",6.733373165130615,0.00010776232375064865,1.9303615093231201,1.9303615093231201,13.713379659000005
Separate,2,6,106,6,6 Actions,0.0,"[[5.33358097076416, 6.987728595733643, 3.7666890621185303, 7.001935005187988, 6.679433345794678, 6.960594654083252]]",7.289917469024658,3.2154563086805865e-05,1.9303615093231201,1.9303615093231201,13.691039289000003
Separate,2,7,107,6,6 Actions,0.0,"[[5.545403957366943, 7.222057342529297, 3.6681935787200928, 7.230582237243652, 6.908350944519043, 7.0695109367370605]]",7.527900695800781,1.8468228518031538e-05,1.9303615093231201,1.9303615093231201,13.707484055000009
Separate,2,8,108,6,6 Actions,0.0,"[[5.622809410095215, 7.3791890144348145, 3.797028064727783, 7.333760738372803, 6.999986171722412, 7.107254505157471]]",7.693566799163818,1.0675389603420626e-05,1.9303615093231201,1.9303615093231201,13.749705499000001
Separate,2,9,109,6,6 Actions,0.0,"[[4.799281597137451, 8.12448501586914, 4.3684563636779785, 8.10937213897705, 7.844361305236816, 7.63565731048584]]",8.4500732421875,2.2903843728272477e-06,1.9303615093231201,1.9303615093231201,13.840745010999996
Separate,2,10,110,6,6 Actions,0.0,"[[5.018150329589844, 8.307842254638672, 4.402809143066406, 8.32824993133545, 8.066488265991211, 7.8713765144348145]]",8.665871620178223,1.3160293974578963e-06,1.9303615093231201,1.9303615093231201,13.80628089999999
